,node,p3_level,p4_level,p1_level,p2_level,RTPD3_lmp,RTPD4_lmp,RTPD3_int_end,RTPD4_int_end,RTPD3_energy,RTPD4_energy,RTPD3_congestion,RTPD4_congestion,RTPD3_losses,RTPD4_losses,RTPD1_lmp,RTPD2_lmp,RTPD1_int_end,RTPD2_int_end,RTPD1_energy,RTPD2_energy,RTPD1_congestion,RTPD2_congestion,RTPD1_losses,RTPD2_losses
0,0096WD_7_N001,11.0,6.0,9.0,4.0,88.54796,64.7055,13:45,14:00,72.20716999999999,54.52721999999999,14.93997,9.055019999999999,1.4008200000000002,1.1232600000000001,79.30409,54.92181,14:15,14:30,63.57613,48.48055,14.46915,5.5977,1.25881,0.84356
1,0096WD_7_N002,11.0,6.0,9.0,4.0,88.54796,64.7055,13:45,14:00,72.20716999999999,54.52721999999999,14.93997,9.055019999999999,1.4008200000000002,1.1232600000000001,79.30409,54.92181,14:15,14:30,63.57613,48.48055,14.46915,5.5977,1.25881,0.84356
2,106THSO_LNODED1,3.0,3.0,3.0,3.0,49.7189,35.989740000000005,13:45,14:00,72.20716999999999,54.52721999999999,-11.01464,-7.744669999999999,-1.5636299999999999,-1.1628100000000001,34.00076,32.03888,14:15,14:30,63.57613,48.48055,-18.62653,-5.91034,-1.63884,-0.90133
3,118THSO_LNODER1,3.0,3.0,3.0,3.0,49.85204,36.01668,13:45,14:00,72.20716999999999,54.52721999999999,-10.91887,-7.744669999999999,-1.52625,-1.1358700000000002,34.12124,32.06219,14:15,14:30,63.57613,48.48055,-18.53318,-5.91034,-1.6117,-0.87802
4,13THSO_LNODE-3,,,,,,,,,,,,,,,,,,,,,,,,
5,13THSO_LNODED2,4.0,3.0,3.0,3.0,50.56537,36.66237,13:45,14:00,72.20716999999999,54.52721999999999,-11.30195,-7.8936399999999995,-0.42983999999999994,-0.34121,34.93044,32.679,14:15,14:30,63.57613,48.48055,-18.71163,-6.00837,-0.62406,-0.16317
6,23RDST_LNODED3,3.0,3.0,3.0,3.0,49.45045,36.07655,13:45,14:00,72.20716999999999,54.52721999999999,-12.83425,-8.775780000000001,-0.012459999999999999,-0.0449,34.27173,32.55216,14:15,14:30,63.57613,48.48055,-19.81532,-6.44602,-0.17908,0.14763
7,26FTDROP_GNODEIT,4.0,3.0,3.0,3.0,50.08719,35.430620000000005,13:45,14:00,72.20716999999999,54.52721999999999,-13.599210000000001,-8.932319999999999,1.38923,-0.53428,38.60939,34.65917,14:15,14:30,63.57613,48.48055,-17.83281,-6.14168,2.17607,1.9503
8,2C559EQ2_7_N001,11.0,7.0,9.0,4.0,89.01008,65.01085,13:45,14:00,72.20716999999999,54.52721999999999,14.93997,9.055019999999999,1.86294,1.42861,79.45667,54.89757,14:15,14:30,63.57613,48.48055,14.46915,5.5977,1.41139,0.81932
9,2C559_1_B1,11.0,7.0,9.0,5.0,89.01008,65.04356999999999,13:45,14:00,72.20716999999999,54.52721999999999,14.93997,9.055019999999999,1.86294,1.46133,79.55204,55.06241,14:15,14:30,63.57613,48.48055,14.46915,5.5977,1.50675,0.98416
10,2C577C1_7_N001,12.0,7.0,10.0,5.0,90.55492,65.86138000000001,13:45,14:00,72.20716999999999,54.52721999999999,18.19612,11.0997,0.15164,0.23446999999999998,81.5879,55.64927,14:15,14:30,63.57613,48.48055,17.64303,6.8536,0.36874,0.31512
11,2PBLSM34_7_N001,11.0,6.0,10.0,4.0,86.55277,64.08896,13:45,14:00,72.20716999999999,54.52721999999999,12.64152,8.394860000000001,1.70409,1.16688,81.7213,54.90407,14:15,14:30,63.57613,48.48055,17.10252,5.91933,1.04265,0.5042
12,3EMIDIO_6_N001,11.0,7.0,10.0,5.0,89.63829,65.50159000000001,13:45,14:00,72.20716999999999,54.52721999999999,14.93997,9.055019999999999,2.49115,1.91936,80.15601,55.59085,14:15,14:30,63.57613,48.48055,14.46915,5.5977,2.11073,1.51259
13,3EMIDIO_6_N002,11.0,7.0,10.0,5.0,89.63829,65.50159000000001,13:45,14:00,72.20716999999999,54.52721999999999,14.93997,9.055019999999999,2.49115,1.91936,80.15601,55.59085,14:15,14:30,63.57613,48.48055,14.46915,5.5977,2.11073,1.51259
14,3EMIDIO_6_N003,11.0,7.0,10.0,5.0,89.63829,65.50159000000001,13:45,14:00,72.20716999999999,54.52721999999999,14.93997,9.055019999999999,2.49115,1.91936,80.15601,55.59085,14:15,14:30,63.57613,48.48055,14.46915,5.5977,2.11073,1.51259
15,3PEAKS_GNODE1,5.0,3.0,3.0,3.0,56.05369,39.64653,13:45,14:00,72.20716999999999,54.52721999999999,-4.88542,-4.1372599999999995,-1.35805,-1.11342,38.75074,33.60285,14:15,14:30,63.57613,48.48055,-13.62692,-3.8413,-1.88846,-1.40639
16,3RDWEST_LNODED1,3.0,3.0,3.0,3.0,49.77812,36.09662,13:45,14:00,72.20716999999999,54.52721999999999,-11.39772,-7.95206,-1.12133,-0.8485299999999999,34.26729,32.26719,14:15,14:30,63.57613,48.48055,-18.80498,-6.00837,-1.19385,-0.57499
17,3RDWEST_LNODED2,3.0,3.0,3.0,3.0,49.77812,36.09662,13:45,14:00,72.20716999999999,54.52721999999999,-11.39772,-7.95206,-1.12133,-0.8485299999999999,34.26729,32.26719,14:15,14:30,63.57613,48.48055,-18.80498,-6.00837,-1.19385,-0.57499
18,4C687C2_7_N001,12.0,7.0,10.0,5.0,92.92027,67.42546999999999,13:45,14:00,72.20716999999999,54.52721999999999,20.59035,12.560189999999999,0.12275,0.33807,84.20773,56.99526,14:15,14:30,63.57613,48.48055,19.97677,7.71478,0.65483,0.79993
19,4C687_1_B1,12.0,7.0,10.0,5.0,92.92027,67.42546999999999,13:45,14:00,72.20716999999999,54.52721999999999,20.59035,12.560189999999999,0.12275,0.33807,84.21409,57.01465,14:15,14:30,63.57613,48.48055,19.97677,7.71478,0.66119,0.81932
20,4C744C12_7_N001,11.0,7.0,9.0,5.0,89.01008,65.04356999999999,13:45,14:00,72.20716999999999,54.52721999999999,14.93997,9.055019999999999,1.86294,1.46133,79.52661,55.00423,14:15,14:30,63.57613,48.48055,14.46915,5.5977,1.48132,0.92598
21,4C744C12_7_N002,11.0,7.0,9.0,5.0,89.01008,65.04356999999999,13:45,14:00,72.20716999999999,54.52721999999999,14.93997,9.055019999999999,1.86294,1.46133,79.52661,55.00423,14:15,14:30,63.57613,48.48055,14.46915,5.5977,1.48132,0.92598
22,4C744C22_7_N001,11.0,7.0,9.0,4.0,89.01008,65.03265999999999,13:45,14:00,72.20716999999999,54.52721999999999,14.93997,9.055019999999999,1.86294,1.45042,79.50753,54.98484,14:15,14:30,63.57613,48.48055,14.46915,5.5977,1.46225,0.90659
23,4C744C32_7_N001,11.0,7.0,9.0,4.0,89.01008,65.03811,13:45,14:00,72.20716999999999,54.52721999999999,14.93997,9.055019999999999,1.86294,1.4558799999999998,79.52025,54.99938,14:15,14:30,63.57613,48.48055,14.46915,5.5977,1.47497,0.92113
24,4C744C32_7_N002,11.0,7.0,9.0,4.0,89.01008,65.03811,13:45,14:00,72.20716999999999,54.52721999999999,14.93997,9.055019999999999,1.86294,1.4558799999999998,79.52025,54.99938,14:15,14:30,63.57613,48.48055,14.46915,5.5977,1.47497,0.92113
25,4C744C42_7_N001,11.0,7.0,9.0,5.0,89.01008,65.04356999999999,13:45,14:00,72.20716999999999,54.52721999999999,14.93997,9.055019999999999,1.86294,1.46133,79.53296,55.02847,14:15,14:30,63.57613,48.48055,14.46915,5.5977,1.48768,0.95022
26,5THWEST_LNODED1,3.0,3.0,3.0,3.0,49.89881,36.11458,13:45,14:00,72.20716999999999,54.52721999999999,-11.30195,-7.95206,-1.09641,-0.8305799999999999,34.3715,32.27107,14:15,14:30,63.57613,48.48055,-18.71163,-6.00837,-1.183,-0.5711
27,5THWEST_LNODER2,3.0,3.0,3.0,3.0,49.89881,36.11458,13:45,14:00,72.20716999999999,54.52721999999999,-11.30195,-7.95206,-1.09641,-0.8305799999999999,34.3715,32.27107,14:15,14:30,63.57613,48.48055,-18.71163,-6.00837,-1.183,-0.5711
28,6THSO_LNODED1,4.0,3.0,3.0,3.0,50.172909999999995,36.37952,13:45,14:00,72.20716999999999,54.52721999999999,-11.30195,-7.8936399999999995,-0.82231,-0.62405,34.58313,32.42647,14:15,14:30,63.57613,48.48055,-18.71163,-6.00837,-0.97136,-0.4157
29,90TH.SO_GNODEPDRP1,3.0,3.0,3.0,3.0,49.634009999999996,35.90898,13:45,14:00,72.20716999999999,54.52721999999999,-10.91887,-7.68625,-1.7442900000000001,-1.30198,33.95844,31.9621,14:15,14:30,63.57613,48.48055,-18.53318,-5.87445,-1.7745,-1.014
30,90THSO_LNODE-6,3.0,3.0,3.0,3.0,49.64414,35.93138,13:45,14:00,72.20716999999999,54.52721999999999,-11.01464,-7.744669999999999,-1.63838,-1.22117,33.94107,31.94861,14:15,14:30,63.57613,48.48055,-18.62653,-5.94622,-1.69853,-0.95572
31,A100US_1_B1,12.0,7.0,11.0,5.0,94.90026,68.96236999999999,13:45,14:00,72.20716999999999,54.52721999999999,20.30304,12.38493,2.39006,2.05022,85.93467,58.37791,14:15,14:30,63.57613,48.48055,19.79007,7.64302,2.56848,2.25435
32,AA_LNODE10A,8.0,3.0,3.0,3.0,71.31322,47.42177,13:45,14:00,72.20716999999999,54.52721999999999,7.56456,1.71642,1.4515,0.80813,40.92066,36.91575,14:15,14:30,63.57613,48.48055,-13.96951,-2.12517,0.62405,0.19036
33,AA_LNODE12A,8.0,3.0,3.0,3.0,71.31322,47.42177,13:45,14:00,72.20716999999999,54.52721999999999,7.56456,1.71642,1.4515,0.80813,40.92066,36.91575,14:15,14:30,63.57613,48.48055,-13.96951,-2.12517,0.62405,0.19036
34,AA_LNODE13A,8.0,3.0,3.0,3.0,71.31322,47.42177,13:45,14:00,72.20716999999999,54.52721999999999,7.56456,1.71642,1.4515,0.80813,40.92066,36.91575,14:15,14:30,63.57613,48.48055,-13.96951,-2.12517,0.62405,0.19036
35,AA_LNODE14A,8.0,3.0,3.0,3.0,71.31322,47.42177,13:45,14:00,72.20716999999999,54.52721999999999,7.56456,1.71642,1.4515,0.80813,40.92066,36.91575,14:15,14:30,63.57613,48.48055,-13.96951,-2.12517,0.62405,0.19036
36,AA_LNODER1A,8.0,3.0,3.0,3.0,71.27584,47.39483,13:45,14:00,72.20716999999999,54.52721999999999,7.56456,1.71642,1.41412,0.7811899999999999,40.89353,36.89632,14:15,14:30,63.57613,48.48055,-13.96951,-2.12517,0.59691,0.17094
37,AA_LNODER2A,8.0,3.0,3.0,3.0,71.27584,47.39483,13:45,14:00,72.20716999999999,54.52721999999999,7.56456,1.71642,1.41412,0.7811899999999999,40.89353,36.89632,14:15,14:30,63.57613,48.48055,-13.96951,-2.12517,0.59691,0.17094
38,AA_LNODER4A,8.0,3.0,3.0,3.0,71.27584,47.39483,13:45,14:00,72.20716999999999,54.52721999999999,7.56456,1.71642,1.41412,0.7811899999999999,40.89353,36.89632,14:15,14:30,63.57613,48.48055,-13.96951,-2.12517,0.59691,0.17094
39,AA_LNODER6A,8.0,3.0,3.0,3.0,71.27584,47.39483,13:45,14:00,72.20716999999999,54.52721999999999,7.56456,1.71642,1.41412,0.7811899999999999,40.89353,36.89632,14:15,14:30,63.57613,48.48055,-13.96951,-2.12517,0.59691,0.17094
40,ABAJO_LNODED1,6.0,3.0,3.0,3.0,62.36449,42.96796,13:45,14:00,72.20716999999999,54.52721999999999,-0.0012,-1.7362099999999998,0.06853,-0.19305,36.97148,34.15528,14:15,14:30,63.57613,48.48055,-14.92865,-3.04801,-2.366,-1.64726
