,node,x,y
0,ALAMT3G_7_B1_1,"[-13155299.600914039, -13153569.388198446, -13147666.758866558, -13147110.161412593, -13140293.56049488, -13141344.006047785, -13141820.259210097, -13145146.485594999, -13145783.233082337, -13145768.761548534, -13147620.004680423, -13147861.567975445, -13147630.023434594, -13148945.819815774, -13148832.273935163, -13149495.738100292, -13152188.556582581, -13152272.046200678, -13152199.68853166, -13154644.26454948, -13155299.600914039]","[3997077.498921393, 4001712.1270614993, 3998161.171098612, 3997759.428932744, 3989562.3301331657, 3988246.6183355357, 3988824.299879661, 3992263.6690090443, 3992591.6003707936, 3992859.3063825746, 3993706.637039594, 3993333.161320214, 3993717.3461999223, 3994193.913945478, 3994508.513042177, 3994994.4851843324, 3996325.324119186, 3995997.28610987, 3996328.0020190636, 3997055.074949725, 3997077.498921393]"
1,ALAMT3G_7_B1_2,"[-13151036.399852872, -13151159.964487651, -13151380.377079422, -13151164.417267283, -13151036.399852872]","[3993982.4011005224, 3993772.230803367, 3993975.70771964, 3994082.8022816745, 3993982.4011005224]"
2,ALAMT3G_7_B1_3,"[-13153290.619541433, -13153429.768904928, -13153671.332199946, -13153445.353633635, -13153290.619541433]","[3995653.191007068, 3995519.3046494513, 3995600.9751418643, 3995781.723379493, 3995653.191007068]"
3,ALAMT3G_7_B1_4,"[-13153689.143318476, -13153713.633606449, -13153947.404537115, -13153843.877410676, -13153689.143318476]","[3994251.478242302, 3993940.902202045, 3994001.142587702, 3994362.591538306, 3994251.478242302]"
4,ALMDACT1_7_B1_1,"[-13615888.018901242, -13613204.869364029, -13611402.885106813, -13612311.183667673, -13612318.766217316, -13612583.706605403, -13612786.308078645, -13612560.329512333, -13612835.288654596, -13612947.721340297, -13612789.647663368, -13612530.97594358, -13612654.16227723, -13613132.511695014, -13612846.420603674, -13613101.342237594, -13613346.245117335, -13613443.093074325, -13613558.865344752, -13614930.321471324, -13614463.8928049, -13614502.854626678, -13614971.509682916, -13614336.988585398, -13614605.268558208, -13614218.989925155, -13614170.009349205, -13615323.279273825, -13615365.580680324, -13616118.100438088, -13616388.606800715, -13617980.47551906, -13617834.646986121, -13617929.268553296, -13617794.571969436, -13618396.43592225, -13618482.644075345, -13618035.02206955, -13616921.827161616, -13615888.018901242]","[4553877.476275045, 4550858.717891924, 4548578.499618735, 4546824.561342471, 4547117.661643767, 4546885.2985018315, 4546966.977075914, 4546469.874290363, 4546678.28843348, 4546548.73320535, 4546351.587037503, 4546400.183519539, 4546162.341285115, 4546354.403385052, 4546975.4266201435, 4546736.025521747, 4546882.482010706, 4546679.696651353, 4546997.958771606, 4547283.839676771, 4547335.946894294, 4547534.520032404, 4547597.895235343, 4547748.588933631, 4547785.2064233245, 4547893.651282837, 4548393.638945267, 4548468.287050669, 4547845.766400427, 4547896.4680475, 4548324.6251353165, 4548696.460049759, 4549659.912297138, 4550616.409974744, 4550802.366710076, 4551358.595424862, 4552461.820463505, 4552767.7944554305, 4552642.390486173, 4553877.476275045]"
5,ALMDACT1_7_B1_2,"[-13616551.211553508, -13616159.570019493, -13616469.870028995, -13616734.810417082, -13617760.062927289, -13617719.987910604, -13616551.211553508]","[4554623.756222228, 4554183.041875458, 4553851.404074537, 4554169.885581364, 4554074.058261658, 4554230.482724474, 4554623.756222228]"
6,AMESBS_1_N004_1,"[-13591386.249168547, -13591716.661179272, -13593630.13234511, -13593375.939192928, -13593202.983258294, -13593254.190224057, -13592751.026125673, -13593119.493640197, -13592971.438717443, -13592803.346286343, -13592697.592770092, -13592961.419963272, -13592834.515743768, -13592522.821169546, -13592537.29270335, -13591753.603488166, -13591032.253187824, -13590362.109853247, -13589919.058279892, -13589673.042205237, -13589546.137985732, -13589177.670471208, -13588622.186212149, -13587865.213674756, -13586579.473556094, -13586570.310735932, -13586123.374515519, -13586286.058814045, -13586757.927262872, -13591386.249168547]","[4497461.779720717, 4497557.783854806, 4502477.802593997, 4503031.388855551, 4502848.125698199, 4503132.801342979, 4503218.345780632, 4502713.503453864, 4502247.948179618, 4502180.640693122, 4502207.283188205, 4502420.4255853025, 4502754.170408017, 4502569.066925771, 4502758.37734332, 4503183.286500487, 4502350.312476625, 4502093.702495613, 4502239.5347201815, 4501772.598302226, 4501998.351752729, 4501844.10973903, 4502048.831449819, 4501371.582414397, 4501761.380866176, 4503157.222846817, 4502978.701020611, 4499392.851744612, 4497461.779720717, 4497461.779720717]"
7,AMESBS_1_N004_2,"[-13593307.14491966, -13593026.124833308, -13592823.383794686, -13592225.598129129, -13592222.258544406, -13592496.104491755, -13592781.082388189, -13592637.480245063, -13592968.099132719, -13593307.14491966]","[4503181.215243066, 4503793.268424568, 4503602.60317316, 4503791.932248773, 4503078.109363285, 4502873.367561391, 4502907.023473479, 4503186.0912386, 4503385.229560916, 4503181.215243066]"
8,ANA_LNODEXF1_1,"[-13649722.394549293, -13650472.73945491, -13651239.593594829, -13650404.503602417, -13650140.676409237, -13649483.891413555, -13647804.080297483, -13647531.34754504, -13648191.472125446, -13648056.775541587, -13648235.999921765, -13648654.561207145, -13648858.275875298, -13648453.072928812, -13648601.127851566, -13648342.866632923, -13648359.564556543, -13647974.3991184, -13647823.00461092, -13647411.121003665, -13648039.578935912, -13649722.394549293]","[6182844.056357643, 6181776.7824895205, 6193056.5058365585, 6193626.30441832, 6193542.273942527, 6194086.806152518, 6194004.451823598, 6192544.055337627, 6192471.798263953, 6192683.530027995, 6193064.996573768, 6193086.843192942, 6192271.834210156, 6192273.514560806, 6191589.6392490445, 6191051.987151792, 6190571.489315747, 6190363.170007894, 6189229.263135055, 6188244.572263234, 6185815.158767045, 6182844.056357643]"
9,ANA_LNODEXF1_2,"[-13651366.754778542, -13652029.544753129, -13651994.145930946, -13651748.129856292, -13650968.893420737, -13647342.104410693, -13645986.23301283, -13645438.541118128, -13645619.991888123, -13645235.939644886, -13645079.990581376, -13645495.513347149, -13646540.604076982, -13646667.508296486, -13647383.292622287, -13651366.754778542]","[6194928.375498846, 6204691.612329228, 6204646.524718936, 6203660.463562031, 6202511.324921048, 6199520.590786501, 6199110.245851201, 6198565.3921745615, 6198462.815600608, 6197889.418510486, 6197262.020541446, 6195653.965475184, 6196154.328933483, 6196569.574958248, 6196699.0282660965, 6194928.375498846]"
10,ANA_LNODEXF1_3,"[-13652898.922160557, -13652923.377837298, -13648705.598574217, -13648702.428588185, -13649852.35892808, -13651612.320077522, -13652898.922160557]","[6217515.005575938, 6217876.008921839, 6214515.689919823, 6214038.344660376, 6215359.217513479, 6215911.888513439, 6217515.005575938]"
11,ANA_LNODEXF1_4,"[-13643134.851047853, -13643285.630803974, -13643391.375682442, -13643134.851047853]","[6204793.669653634, 6204209.606630759, 6204405.888328564, 6204793.669653634]"
12,ANA_LNODEXF1_5,"[-13649276.837160682, -13649487.23099828, -13648887.218942905, -13648938.425908668, -13649276.837160682]","[6203838.821104539, 6203986.894358551, 6204215.739912595, 6204022.230402407, 6203838.821104539]"
13,ANA_LNODEXF1_6,"[-13648465.3180728, -13647707.232340496, -13647629.30869694, -13647812.98585675, -13648578.863953406, -13649301.327448653, -13649370.345532946, -13648999.651628606, -13648990.746069342, -13648465.3180728]","[6209521.298232732, 6209336.086564081, 6208664.307190191, 6208280.457093496, 6208342.747378592, 6208940.420607901, 6209265.370445975, 6209406.803270444, 6209908.572034132, 6209521.298232732]"
