,node,p3_level,p4_level,p1_level,p2_level,RTPD1_lmp,RTPD2_lmp,RTPD1_int_end,RTPD2_int_end,RTPD1_energy,RTPD2_energy,RTPD1_congestion,RTPD2_congestion,RTPD1_losses,RTPD2_losses,RTPD3_lmp,RTPD4_lmp,RTPD3_int_end,RTPD4_int_end,RTPD3_energy,RTPD4_energy,RTPD3_congestion,RTPD4_congestion,RTPD3_losses,RTPD4_losses
0,0096WD_7_N001,3.0,3.0,3.0,3.0,37.0601,44.415,14:15,14:30,37.58631,45.08222,0.0,0.0,-0.5262100000000001,-0.66722,47.38331,46.34061,14:45,15:00,48.06097,47.03675,0,0,-0.67766,-0.69614
1,0096WD_7_N002,3.0,3.0,3.0,3.0,37.0601,44.415,14:15,14:30,37.58631,45.08222,0.0,0.0,-0.5262100000000001,-0.66722,47.38331,46.34061,14:45,15:00,48.06097,47.03675,0,0,-0.67766,-0.69614
2,106THSO_LNODED1,3.0,3.0,3.0,3.0,25.44669,27.17519,14:15,14:30,37.58631,45.08222,-0.0024,-0.0024,-2.3123299999999998,-2.4338599999999997,28.98237,32.85059,14:45,15:00,48.06097,47.03675,-0.0024,-0.0024,-2.7062,-2.88376
3,118THSO_LNODER1,3.0,3.0,3.0,3.0,25.4578,27.18703,14:15,14:30,37.58631,45.08222,-0.0024,-0.0024,-2.3012200000000003,-2.4220200000000003,28.99188,32.86488,14:45,15:00,48.06097,47.03675,-0.0024,-0.0024,-2.6967,-2.86947
4,13THSO_LNODE-3,,,,,,,,,,,,,,,,,,,,,,,,
5,13THSO_LNODED2,3.0,3.0,3.0,3.0,26.04074,27.82955,14:15,14:30,37.58631,45.08222,-0.0024,-0.0024,-1.71828,-1.7795,29.68903,33.64747,14:45,15:00,48.06097,47.03675,-0.0024,-0.0024,-1.99955,-2.08689
6,23RDST_LNODED3,3.0,3.0,3.0,3.0,26.32943,28.17005,14:15,14:30,37.58631,45.08222,-0.0024,-0.0024,-1.42959,-1.439,30.06612,34.09414,14:45,15:00,48.06097,47.03675,-0.0024,-0.0024,-1.62245,-1.64021
7,26FTDROP_GNODEIT,3.0,3.0,3.0,3.0,29.498009999999997,31.499390000000002,14:15,14:30,37.58631,45.08222,-0.0012,-0.0012,1.7377900000000002,1.88913,33.96827,37.79749,14:45,15:00,48.06097,47.03675,-0.0012,-0.0012,2.27849,2.06194
8,2C559EQ2_7_N001,3.0,3.0,3.0,3.0,37.240520000000004,44.62238,14:15,14:30,37.58631,45.08222,0.0,0.0,-0.34579,-0.45983999999999997,47.59478,46.55227,14:45,15:00,48.06097,47.03675,0,0,-0.46619,-0.48448
9,2C559_1_B1,3.0,3.0,3.0,3.0,37.240520000000004,44.62238,14:15,14:30,37.58631,45.08222,0.0,0.0,-0.34579,-0.45983999999999997,47.59478,46.55227,14:45,15:00,48.06097,47.03675,0,0,-0.46619,-0.48448
