node_ba,node_type,node_name,latitude,longitude,geometry
PACE,LOAD,106THSO_LNODED1,40.55611,-111.90056,POINT (-111.90056 40.55611)
PACE,LOAD,118THSO_LNODER1,40.53944,-111.89667,POINT (-111.89667 40.53944)
PACE,LOAD,13THSO_LNODE-3,40.73972,-111.8862703,POINT (-111.8862703260759 40.73971999998462)
PACE,LOAD,13THSO_LNODED2,40.73972,-111.8863897,POINT (-111.8863896739241 40.73971999998462)
PACE,LOAD,23RDST_LNODED3,41.22611,-111.96939,POINT (-111.96939 41.22611)
NV,GEN,26FTDROP_GNODEIT,39.484637,-118.903608,POINT (-118.903608 39.484637)
CA,GEN,2C559EQ2_7_N001,35.294502,-118.854003,POINT (-118.854003 35.294502)
PACE,LOAD,3RDWEST_LNODED1,40.76639,-111.9018803,POINT (-111.9018802993461 40.76638999998463)
PACE,LOAD,3RDWEST_LNODED2,40.76639,-111.9019997,POINT (-111.9019997006539 40.76638999998463)
PACE,LOAD,5THWEST_LNODED1,40.76583,-111.9049403,POINT (-111.9049402998991 40.76582999998463)
PACE,LOAD,5THWEST_LNODER2,40.76583,-111.9050597,POINT (-111.9050597001009 40.76582999998463)
PACE,LOAD,6THSO_LNODED1,40.75597,-111.88728,POINT (-111.88728 40.75597)
PACE,LOAD,90THSO_LNODE-6,40.58861,-111.91583,POINT (-111.91583 40.58861)
APS,LOAD,AA_LNODE10A,33.61831501,-111.927736,POINT (-111.927736 33.618315007)
APS,LOAD,AA_LNODE12A,33.61831501,-111.9276281,POINT (-111.9276281084837 33.61831500695321)
APS,LOAD,AA_LNODE13A,33.61822516,-111.9276281,POINT (-111.9276281085962 33.61822516090764)
APS,LOAD,AA_LNODE14A,33.61816163,-111.9277044,POINT (-111.9277043993627 33.61816163020244)
APS,LOAD,AA_LNODER1A,33.61814644,-111.9278107,POINT (-111.9278107368834 33.6181464370399)
APS,LOAD,AA_LNODER2A,33.61817756,-111.927912,POINT (-111.927911950253 33.61817755535562)
APS,LOAD,AA_LNODER4A,33.61824308,-111.9279858,POINT (-111.9279857667274 33.61824308177212)
APS,LOAD,AA_LNODER6A,33.61832799,-111.928021,POINT (-111.9280210278011 33.61832799407176)
PACE,LOAD,ABAJO_LNODED1,37.30361,-109.54806,POINT (-109.54806 37.30361)
PGE,LOAD,ABRN_LNODEWR1,45.36483,-122.5979363,POINT (-122.59793626294 45.36482999998227)
PGE,LOAD,ABRN_LNODEWR2,45.36483,-122.5980637,POINT (-122.59806373706 45.36482999998227)
APS,GEN,ACX_GNODESWMPCC,34.50429101,-110.3338631,POINT (-110.3338631303437 34.5042910069878)
APS,LOAD,ACX_LNODEUXL,34.50429101,-110.3339729,POINT (-110.3339728696563 34.5042910069878)
CA,GEN,ADCC_2_N001,37.632663,-121.785728,POINT (-121.785728 37.632663)
